PrescriptionStatus,ImageUrl,Name,Manufacturer,ActiveSubstance,Price,OldPrice,DrugUrl
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/dPkLLpwBO1hvZDjO37BX-300x300,"Набор из трех упаковок Седжаро Раствор для подкожного введения 7,5 мг/доза шприц-ручка 2,4 мл 1 шт + игла 4 шт",,,27101,31101,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_sedzharo-rr-dlja-p-k-vved-7-5-mg-doza-shpricruchka-2-4-ml-1-igla-4-666776-3/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/lmgGYZgBJwpR6z9ZDMTk-300x210,"Седжаро Раствор для подкожного введения 7,5 мг/доза шприц-ручка 2,4 мл 1 шт + игла 4 шт",Герофарм,Тирзепатид,10367,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/sedzharo-rr-dlja-p-k-vved-7-5-mg-doza-shpricruchka-2-4-ml-1-igla-4-666776/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/kfYPLpwBOkTyP3bfuIe6-300x300,Набор из двух упаковок Седжаро Раствор для подкожного введения 10 мг/доза + игла 4 шт,,,22656,24656,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_sedzharo-0-01-doza-shpricruchka-rr-p-k-igla-n4-667071-2/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/iJkPLpwBO1hvZDjOQ6_e-300x300,Набор из трех упаковок Седжаро Раствор для подкожного введения 10 мг/доза + игла 4 шт,,,32984,36984,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_sedzharo-0-01-doza-shpricruchka-rr-p-k-igla-n4-667071-3/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/ktIEYZgBJwpR6z9Z7YRR-300x210,Седжаро Раствор для подкожного введения 10 мг/доза + игла 4 шт,Герофарм,Тирзепатид,12328,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/sedzharo-0-01-doza-shpricruchka-rr-p-k-igla-n4-667071/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/hWxCtpUBybk0vr4zyAwc-192x300,Джардинс Таблетки покрытые пленочной оболочкой 25 мг 30 шт,Берингер,Эмпаглифлозин,2941.2,3268,https://gorzdrav.org/category/sredstva-ot-diabeta/p/dzhardins-tabl-p-pl-ob-25mg-n30-60978/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/Foxsu5UBRnED4k9iMXXS-300x300,"Тирзетта Раствор для подкожного введения 12,5 мг 0,5 мл 4 шт",Биохимик,Тирзепатид,17045.1,18939,https://gorzdrav.org/category/sredstva-ot-diabeta/p/tirzetta-rr-p-k-vved-12-5-mg-0-5-ml-4-664660/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/w9Bsu5UB5yfJBvc3uGTE-300x300,"Тирзетта Раствор для подкожного введения 15 мг 0,5 мл 4 шт",Биохимик,Тирзепатид,19311.3,21457,https://gorzdrav.org/category/sredstva-ot-diabeta/p/tirzetta-rr-p-k-vved-15-mg-0-5-ml-4-664661/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/WqN5t5UB4hniyrJC5sbI-300x300,Глюкофаж Лонг 1 г Таблетки пролонгированного действия 60 шт,Нанолек,Метформин,667.8,742,https://gorzdrav.org/category/sredstva-ot-diabeta/p/gljukofazh-long-tab-prolong-dja-1000mg60-68197/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/aiYQLpwB-jufNU_rhoNs-300x300,Набор из трех упаковок Седжаро Раствор для подкожного введения 15 мг/доза шприц-ручка + игла 4 шт,,,45022,50022,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_sedzharo-0-015-doza-shpricruchka-rr-p-k-igla-n4-667678-3/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/TtsOLpwBOkTyP3bf2_L9-300x300,Набор из двух упаковок Седжаро Раствор для подкожного введения 15 мг/доза шприц-ручка + игла 4 шт,,,30348,33348,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_sedzharo-0-015-doza-shpricruchka-rr-p-k-igla-n4-667678-2/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/VVeECZkBAVH4f51Sd8ZP-300x210,Седжаро Раствор для подкожного введения 15 мг/доза шприц-ручка + игла 4 шт,Герофарм,Тирзепатид,16674,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/sedzharo-0-015-doza-shpricruchka-rr-p-k-igla-n4-667678/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/w9IOLpwB-jufNU_rG_Ey-300x300,"Набор из двух упаковок Седжаро Раствор для подкожного введения 12,5 мг/доза шприц-ручка + игла 4 шт",,,25326,28326,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_sedzharo-0-0125-doza-shpricruchka-rr-p-k-igla-n4-667694-2/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/vcgNLpwBOkTyP3bfVm5g-300x300,"Набор из трех упаковок Седжаро Раствор для подкожного введения 12,5 мг/доза шприц-ручка + игла 4 шт",,,37489,42489,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_sedzharo-0-0125-doza-shpricruchka-rr-p-k-igla-n4-667694-3/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/lrSCCZkBSj3lfnbrUHc4-300x210,"Седжаро Раствор для подкожного введения 12,5 мг/доза шприц-ручка + игла 4 шт",Герофарм,Тирзепатид,14163,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/sedzharo-0-0125-doza-shpricruchka-rr-p-k-igla-n4-667694/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/TPLztZUB4hniyrJCjV5b-201x300,НовоРапид ФлексПен Раствор для подкожного и внутривенного введения в шприц-ручках 100 ЕД/мл 3 мл 5 шт,Ново Нордиск,Инсулин аспарт,1995.3,2217,https://gorzdrav.org/category/sredstva-ot-diabeta/p/novorapid-flekspen-rr-d-in-100ed-ml-3ml-n5-42922/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/gDPwCZgBH0J-GJRPwl2e-300x300,"Семавик Некст Раствор для подкожного введения 0,25 мг/доза шприц-ручка 3 мл 1 шт + иглы 4 шт",Герофарм,Семаглутид,2782,3482,https://gorzdrav.org/category/sredstva-ot-diabeta/p/semavik-nekst-0-00025-doza-3ml-n1-shpricruchka-rr-p-k-igla-odnoraz-n4-667590/
